ID_PER,CVE_ENT,NOM_ENT,SENTENCE,years of prison sentence,months of prison sentence,CAR THEFT,BURGLARY,SHOPLIFTING,P5_11_04,PEDESTRIAN,P5_11_06,P5_11_07,P5_11_08,P5_11_09,P5_11_10,P5_11_11,INTENTIONAL HOMICIDE,WEAPONS,P5_11_14,P5_11_15,P5_11_16,KIDNAPPING,P5_11_18,P5_11_19,ORGANISED CRIME,P5_11_21,EXTORTION,P5_11_23,P5_11_24,P5_11_25
2948.5255,27,Tabasco,6.666666667,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2954.9665,5,Coahuila de Zaragoza,6.666666667,6,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2955.7108,15,Estado de México,6.666666667,6,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2972.7881,9,Ciudad de México,6.666666667,6,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2973.1133,27,Tabasco,6.666666667,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2974.6044,26,Sonora,6.666666667,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2979.4407,26,Sonora,6.666666667,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2983.9645,20,Oaxaca,6.666666667,6,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2987.4211,20,Oaxaca,6.666666667,6,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2989.1605,27,Tabasco,6.666666667,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2991.8586,26,Sonora,6.666666667,6,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2993.6622,2,Baja California,6.666666667,6,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3001.9389,7,Chiapas,6.666666667,6,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3010.1953,30,Veracruz de Ignacio de la Llave,6.666666667,6,8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3011.1091,18,Nayarit,6.666666667,6,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
